asset,feature_mode,number_of_features,selected_components,variance_explained,cross_validation_rmse,pca_rmse,pca_mae,pca_r_squared,pca_directional_accuracy,pca_prediction_correlation,zero_rmse,previous_return_rmse,ridge_rmse,ridge_r_squared,ridge_directional_accuracy,pca_beats_zero,pca_beats_previous_return,pca_beats_ridge,strategy_total_return,strategy_sharpe,average_turnover
MTNS,all_assets,51,1,0.23476057584962332,0.01883358605571353,0.018162948223058743,0.014787545213328403,-0.003886876979034559,0.495,0.0029546270274813735,0.018165674955272697,0.027361519747166826,0.01898442629409189,-0.09674848210821074,0.54,True,True,True,0.05561398033571607,0.379545246530307,0.905
IHOZ,all_assets,51,2,0.28837192168513626,0.01910192117372971,0.017625934387767158,0.014044867650319768,0.009851368397923776,0.53,0.13891610578518024,0.017776201955328048,0.024627062089388394,0.017623546422936197,0.010119641261113421,0.54,True,True,False,0.2521807757398775,1.14512408136451,0.945
NAYO,all_assets,51,1,0.23476057584962332,0.03265998264859684,0.029575011265523202,0.02387679239350585,-0.0006678521658940451,0.52,-0.011346165775076045,0.02956523103484617,0.040800743484350886,0.03120337222220022,-0.11389222819754252,0.49,False,True,True,-0.1305107984314262,-0.1403023085890337,0.685
FWWG,all_assets,51,1,0.23476057584962332,0.015105227424302748,0.014290483689297829,0.011638930485325211,-0.019335039190041314,0.465,0.041410297039413256,0.014220894565020962,0.020574920992548932,0.014973499587545826,-0.11910213922327584,0.485,False,True,True,-0.2556123257961781,-1.5378226804029356,0.005
EELT,all_assets,51,1,0.23476057584962332,0.03404654000872723,0.03454583686027952,0.02773745263424647,-0.005654601696347905,0.56,-0.004404360383293822,0.03452821816873102,0.049100060885699695,0.034922753567511816,-0.027718959160346168,0.595,False,True,True,-0.06199394567819483,0.12744039937942758,0.965
HRND,all_assets,51,1,0.23476057584962332,0.02965613625116432,0.02578980250111121,0.020041379444298714,-0.016513366505524152,0.56,0.055300440027649375,0.025761665686070644,0.038042675285466024,0.02677723973928501,-0.09584385049042932,0.5,False,True,True,0.49838995465043734,1.4526749253622817,0.965
AETS,all_assets,51,1,0.23476057584962332,0.03295339071784476,0.03199521615629906,0.02508024021583222,0.0014638860341106286,0.565,0.07856939435570086,0.032058714067682986,0.041782015894296066,0.0327138880152929,-0.043897854122923574,0.535,True,True,True,1.040782449137331,2.0325676555728482,0.985
ULXY,all_assets,51,2,0.28837192168513626,0.028170166029307973,0.029797412686486318,0.02404365851870747,-0.04177899280028963,0.465,-0.08904457633482683,0.02921068742588674,0.04320291114534083,0.03152043583720989,-0.16574325643585586,0.47,False,True,True,-0.34181090653106005,-0.9025511396629792,1.005
BLBT,all_assets,51,1,0.23476057584962332,0.012246247454701669,0.012637358396141286,0.010037192888049329,-0.033297945425549536,0.43,-0.031241316534103444,0.012513845156797241,0.01807113051533136,0.012628143243289898,-0.03179153459308948,0.52,False,True,False,-0.22379132534130053,-1.5104879970102112,0.025
BENI,all_assets,51,2,0.28837192168513626,0.011504125054471669,0.011974752424996815,0.009554751710366644,-0.019206424853237758,0.5,0.0034554071771327843,0.01193704132086062,0.01617716277303604,0.011989897336621803,-0.021786111145104536,0.545,False,True,True,-0.049096585755940114,-0.23925539985689895,0.885
ITPA,all_assets,51,1,0.23476057584962332,0.015881540912382152,0.015108643195312,0.01208037791723994,0.008538133020700167,0.51,0.10759827523096262,0.015173651316132459,0.020976813468854286,0.01608743427788733,-0.12408371624747172,0.4,True,True,True,0.1441091664228884,0.8234686055964002,0.685
HTRK,all_assets,51,5,0.3730132634892758,0.01824849545806527,0.01638364866494848,0.013181969162884635,-0.0039403540293443395,0.57,0.06177768375329091,0.016373611479578366,0.023843861995035593,0.016846926326186534,-0.0615195868693974,0.545,False,True,True,0.31559583646164246,1.462108244697407,1.005
NGTE,all_assets,51,1,0.23476057584962332,0.022441874663105738,0.02310958584664274,0.01840839989882239,-0.007618713872053151,0.445,-0.032975245748726546,0.02307783097655103,0.033091186591996655,0.023619928410724512,-0.05261378657183036,0.51,False,True,True,-0.46758058196986063,-1.9941441261402693,0.885
ILVX,all_assets,51,1,0.23476057584962332,0.014248053304673538,0.01335961702294404,0.011114308556059155,0.020531403293256867,0.545,0.16928766677301801,0.013534517831645257,0.017266441481460556,0.013769616071856486,-0.040509769011135344,0.51,True,True,True,0.4830772131170362,2.440685139932834,0.565
FCSG,all_assets,51,1,0.23476057584962332,0.024502106730203147,0.02349790639220683,0.018354765877210175,0.0034518094686810663,0.57,0.10833992641192874,0.02362163580533706,0.032107510160837,0.023732876949295448,-0.016578080394571426,0.525,True,True,True,0.8421302339975547,2.255404578026529,0.965
FARS,all_assets,51,1,0.23476057584962332,0.015572200158302086,0.018172743131764833,0.014243896363920077,-0.002577684541884784,0.505,0.09268791732910055,0.01815643716550384,0.026288419505435548,0.01788892774274725,0.028493573899511793,0.555,False,True,False,-0.12570638099675058,-0.4420465762468966,0.005
MHRM,all_assets,51,5,0.3730132634892758,0.023062159256947535,0.022635496805655745,0.017624880207808728,-0.03700969646129049,0.51,-0.02400315571554018,0.02228172676421396,0.029571703819951174,0.023262450364413184,-0.09525104056393197,0.495,False,True,True,0.04438843813745774,0.3309388275638462,0.985
EAFC,all_assets,51,1,0.23476057584962332,0.023023125856624638,0.020642076782768977,0.016218119635651864,-0.01063722019476665,0.51,0.09659399321663392,0.020699102122072058,0.027122499059285793,0.021119164927478944,-0.057893609793086,0.485,True,True,True,0.26924798677253814,1.0781208501588708,0.965
AENO,other_assets_only,50,5,0.3746643308706449,0.018293454872558557,0.017709823488335618,0.014453763985728096,-0.022438892792088216,0.54,0.007843208571383565,0.017551384677863886,0.02287313238464713,0.018467745783007618,-0.11182560470585878,0.515,False,True,True,-0.026011927461754403,0.02034478855371607,0.895
LSST,other_assets_only,50,1,0.23521401671359704,0.022885674674316882,0.02452600168124516,0.019539194572005654,-0.008409566970086102,0.51,0.038789924791417005,0.02454177230628407,0.033359928760185543,0.02485272091056294,-0.035455252656954483,0.5,True,True,True,-0.06280663613487159,-0.014504404193466006,0.965
SRNA,other_assets_only,50,2,0.28698455342462154,0.016132070857994094,0.016015061344121354,0.012720667792808917,-0.022359313990657714,0.485,0.02410097033601291,0.01588846727149749,0.0234365187353688,0.016111709147357874,-0.034736029339644814,0.495,False,True,True,-0.10770228939263982,-0.4420155498024743,0.495
ELLT,other_assets_only,50,1,0.2355038529845328,0.01753490724773086,0.01692344246278627,0.013093968995052812,-0.0057690212905037175,0.51,0.06812009836112178,0.016973598462544894,0.02386302012165452,0.017223830272019982,-0.0417903031125626,0.495,True,True,True,0.002800983821334757,0.14724438506589133,0.985
AMRP,other_assets_only,50,10,0.4783598485098328,0.0270688103259736,0.027956435769901415,0.022928241049303216,-0.012872120907022389,0.52,0.10798442617844549,0.02782167632351414,0.03920573316067936,0.02836144488265544,-0.042431963204373924,0.57,False,True,True,0.13681285330352022,0.5860693914207723,1.065
OTCS,other_assets_only,50,3,0.32973190104318456,0.027441245507067693,0.026328178570852765,0.02167049282381166,-0.012169611418627158,0.5,-0.006246699581316314,0.02620081886978248,0.0371347089123082,0.027403813884859605,-0.09656324027560781,0.5,False,True,True,-0.03338416524947074,0.10459978179074138,0.995
HETT,other_assets_only,50,2,0.2889052042876476,0.01522677653232788,0.016331555311184624,0.013224442284446681,-0.007935078676100327,0.495,-0.03625114912561575,0.016275182479522726,0.021660334788565855,0.01666404794994878,-0.04939376869887502,0.53,False,True,True,-0.046657155021874175,-0.10349649482171053,0.865
HUXZ,other_assets_only,50,5,0.37543314931354366,0.021955632704657824,0.020685458991853624,0.01658836058490165,-0.011019552163442858,0.475,0.04413561076727018,0.02057939689593025,0.029408659081761095,0.02108295604161292,-0.05024890429715878,0.545,False,True,True,-0.13671784066180281,-0.40331248827911687,1.045
DUCT,other_assets_only,50,1,0.23372475911309937,0.020970066863107154,0.020996760847940298,0.01659961367748394,-0.007903331370277877,0.48,-0.039836963910452064,0.020983909923226917,0.030593876767502977,0.02156191470849464,-0.06289147773677684,0.535,False,True,True,-0.08135096258909191,-0.15357486662746508,0.925
SMAH,other_assets_only,50,1,0.2354748614691361,0.021683539418563463,0.02208438452324942,0.017691626159229753,0.0033268654232173622,0.55,0.09741346328784563,0.022160044625512874,0.03217984545391712,0.022736311487031355,-0.05638486975287704,0.525,True,True,True,0.2507053643609216,0.9769511857940272,0.025
NPCK,other_assets_only,50,1,0.23482561564844798,0.018650307185616055,0.020070123480389973,0.015722428346696574,0.0042662360696009705,0.51,0.13558396127434433,0.020129073977273055,0.026160882155413585,0.02016778322295714,-0.005447674463592289,0.545,True,True,True,0.3878813597401711,1.454858936992552,0.265
MSDP,other_assets_only,50,2,0.28878668847661965,0.02343783224545951,0.021490219776914364,0.01686534859559714,-0.008823271652125264,0.5,0.018675197137090135,0.021476300237780584,0.02925835801955163,0.022293711843035028,-0.08567076884551472,0.5,False,True,True,0.22804475946067848,0.9279672878176733,0.955
EORC,other_assets_only,50,1,0.2356490587087014,0.022188513515088954,0.020794064032111936,0.016697185463860776,-0.012293051567466184,0.485,0.0467164103995497,0.02076904262242779,0.029224030180032612,0.02212646062912987,-0.1461762376260154,0.48,False,True,True,-0.058837925698703386,-0.06626235894041128,0.465
CUBO,other_assets_only,50,3,0.32528219052412133,0.016134730488017834,0.016434699745743405,0.013026211279239674,0.02558209800968525,0.53,0.161624640776427,0.016659894855265138,0.02574665257207435,0.016670135392178414,-0.00253596202009998,0.51,True,True,True,0.4730357902802309,1.9874248519077544,0.945
HRET,other_assets_only,50,5,0.37603376095842145,0.022474525264107283,0.02275099190304718,0.017595977896166633,-0.06371811565702479,0.51,-0.09675641437335611,0.022069064018109152,0.03215994819417486,0.022243634271964418,-0.016804303060502068,0.55,False,True,False,-0.24921690085664683,-0.8539196935659048,0.965
ANSO,other_assets_only,50,3,0.3290608800586472,0.021273144074770333,0.021863701284956943,0.017336744535721576,-0.024865868346976683,0.42,-0.15101158944038692,0.021596984832172438,0.03106989728825871,0.022714708574411532,-0.10620087612766116,0.5,False,True,True,-0.5741489090004294,-3.0094524672257954,0.825
DIHO,other_assets_only,50,1,0.2361067332855788,0.02052518924066112,0.021778682899986065,0.017358002373693126,-0.008508736031419994,0.455,0.0459734246207941,0.021736963314280888,0.029559567825136277,0.022025446103149722,-0.03149200977448152,0.47,False,True,True,0.18775701762193453,0.7984995365700032,0.965
RTTH,other_assets_only,50,3,0.3290172661692418,0.03266286909649706,0.03247364851203486,0.02577758492649887,0.002761889114451521,0.52,0.07324980211142468,0.032544360315915365,0.044474145009678036,0.03336279265932287,-0.052595451326745035,0.49,True,True,True,0.6615319568071187,1.497183808351362,0.945
SPLZ,other_assets_only,50,2,0.28969273739250095,0.024522285943409602,0.025433209184886917,0.020475602942385235,-0.029414384263221294,0.48,-0.012991393168714753,0.025188277205217106,0.03715341324589316,0.027292762686897735,-0.1854490797155648,0.475,False,True,True,-0.1746685998087676,-0.40416692741394455,0.945
NWIG,other_assets_only,50,1,0.23558895332190796,0.02154959422618325,0.02048784598627596,0.016194413176101312,-0.0008082437637808582,0.5,0.09011205552238143,0.020498316841757902,0.029308163138229468,0.020632135480825604,-0.01495464249164935,0.555,True,True,True,0.15840181022342992,0.7309389249853829,0.465
MMBT,other_assets_only,50,5,0.3750219676453439,0.04101186806116343,0.04312345810734522,0.034847227436168325,-0.001658152368222865,0.55,0.04972806466303338,0.04339454228483384,0.06028198395661969,0.0469318269909191,-0.18638949364869806,0.44,True,True,True,2.49402299461798,2.6582322898258246,0.645
MDGI,other_assets_only,50,1,0.23609247521782376,0.0221316070204368,0.020166070461459625,0.01619114068111519,-0.0048650416448516864,0.565,0.038243297291354526,0.02027791604582451,0.029034209075119537,0.02081683524057199,-0.07076603543520044,0.55,True,True,True,0.6937500693191414,2.2393659032327906,0.305
AGVF,other_assets_only,50,3,0.32893490849469836,0.020452874948794796,0.01959655528676195,0.016014883362012493,-0.0019087772778463297,0.48,0.04787894291516893,0.01962300539789816,0.027612418890142324,0.020551210191956968,-0.10190336497771835,0.525,True,True,True,-0.15572121954176865,-0.528000285623619,0.985
RRES,other_assets_only,50,5,0.372407989820258,0.024458826122033272,0.023951908245879634,0.018759351963408836,0.03433226135137035,0.595,0.20474978694490853,0.02437562530333831,0.03389950297015321,0.025069778169069995,-0.057909375894043436,0.525,True,True,True,1.2062022567750095,2.804819272816044,0.895
CTGI,other_assets_only,50,3,0.3283795319569225,0.030070018756405283,0.02961514000285702,0.024188619247390318,-0.009871709901637438,0.495,-0.03338655651317199,0.02954390726548077,0.04176390462300323,0.030114039062288978,-0.044183063933196376,0.515,False,True,True,-0.41088336500485545,-1.185841570830685,0.955
ALUT,other_assets_only,50,1,0.23674646117414258,0.021320254354461533,0.021249369062947648,0.01693868615242841,-0.012276403078958165,0.465,-0.07092913636871806,0.021123062005030717,0.030679984703179862,0.021266983911984647,-0.01395536931951491,0.545,False,True,True,-0.336368261300118,-1.3740758318177952,0.925
ACAC,other_assets_only,50,1,0.23373617310092265,0.019526353951563737,0.017613478131323027,0.01366719929834956,0.00042059896860391355,0.54,0.10545822804979679,0.01763281883870103,0.026268259509659057,0.018708771852289058,-0.12776238868845757,0.475,True,True,True,0.054065615814339996,0.3764422403575289,0.585
SRTX,other_assets_only,50,2,0.2878431832128711,0.020501980530251266,0.01917053418650488,0.015617882522362594,-0.039402203808120984,0.47,-0.06816515297621148,0.01892486241694365,0.025960130660462623,0.01881908632847813,-0.0016414148145813545,0.575,False,True,False,-0.28391064131774235,-1.2508208739754634,0.885
GARI,other_assets_only,50,5,0.3742979974200209,0.022509261429378768,0.022620987827393392,0.01803741930018594,0.015706158863156072,0.56,0.1655974662949327,0.02284459253269296,0.03184083802748011,0.023492932889210037,-0.06163716044655154,0.56,True,True,True,0.9116543289128292,2.4541127321024123,1.005
RCRI,other_assets_only,50,5,0.37446742879198675,0.03381892687410795,0.03587239345978697,0.028369638377111813,0.009275089772698086,0.505,0.09877928423757114,0.036043405559768184,0.04645699742815006,0.03668163393026224,-0.03592835089532076,0.525,True,True,True,0.8580332741037595,1.6516483465162333,0.985
ACIX,other_assets_only,50,1,0.23490152056356592,0.016565406097528473,0.01733213491676919,0.013775920166308013,0.0023889569486785778,0.495,0.049016884948741485,0.017366822274353943,0.025059989925627968,0.018467039057588987,-0.1325350755000707,0.49,True,True,True,0.021924282802294304,0.2366756946739081,0.585
CCNS,other_assets_only,50,1,0.23674960285463795,0.022440799980777453,0.023648820547127178,0.01918144163809705,-0.006853742086395442,0.505,-0.03412259347662917,0.023579452040925708,0.03398213798713126,0.02559240227202221,-0.17915127270037567,0.45,False,True,True,-0.004579018094305276,0.17165619973770102,0.805
MTNS,other_assets_only,50,1,0.23401452927336658,0.018834077681949283,0.018167017720164012,0.014792921431843156,-0.004336778873490266,0.49,-0.0032024914259055864,0.018165674955272697,0.027361519747166826,0.018872362289864695,-0.0838386084102356,0.545,False,True,True,0.043445519467291804,0.3289746936413725,0.905
IHOZ,other_assets_only,50,2,0.28700149047233076,0.01910598641941066,0.017617639151300855,0.014027435579076842,0.01078312998341513,0.54,0.14325119773819292,0.017776201955328048,0.024627062089388394,0.017598446136088103,0.012937301989620287,0.535,True,True,False,0.3820327372562091,1.5894290419343837,0.945
NAYO,other_assets_only,50,5,0.3735500741963491,0.032631760573478226,0.02960260514297397,0.02391778021667725,-0.002535995995651019,0.495,0.026900580420479325,0.02956523103484617,0.040800743484350886,0.031206441119168725,-0.11411134480848584,0.49,False,True,True,0.008646195633722042,0.2562297000276253,1.005
